index,theta_res,gamma,rmse,r2,n_points
323,0.27879822256974274,0.7276094931594478,0.022978220708771185,0.8776111387603767,47
324,0.21997686229693286,0.8868082473029132,0.030644687909139733,0.8737044946136989,54
325,0.22317004797467385,1.0629427696105502,0.05114411384983771,0.6035716304626022,57
326,0.1440302500674392,0.3161231977189401,0.05556672337156186,0.5853985622765792,71
327,0.17083378162098806,0.30572485259292,0.030487797784643746,0.8112681569475776,50
328,0.053697223819130155,0.5893883150285791,0.01534510458706657,0.9887416773051454,8
329,0.12508574064695763,0.5334427696799532,0.028405048633955904,0.9455024985671048,8
330,0.12740173219962983,1.490155294915179,0.03303478112578579,0.9197803412371796,14
331,0.15923528546197147,2.0623751150741216,0.03309005779751634,0.9191238816394285,7
332,0.14334868913526025,2.79383381398622,0.02569726819487136,0.9441143100165157,11
333,0.14485152588266087,1.7272934115244911,0.027537533383502608,0.9322570703872113,16
334,0.11093973395809635,1.0432042710624192,0.03923663525847769,0.8737612741591732,18
335,0.15745500188214484,2.5894944182218778,0.06693278331803458,0.7173796412411106,8
336,0.20808669331650595,0.6927931753240941,0.04611010177655987,0.8192958207859737,8
337,0.2610631388948629,0.46524758850260706,0.05234604692406601,0.680819490696533,8
338,0.0697265635899218,1.6384398330313095,0.04776299261267253,0.9001948401256881,9
339,0.23357270211530973,0.4705951303718295,0.048231225341698776,0.7555972381516263,8
340,0.14829750424881816,2.8911860879152425,0.021933683602065455,0.9524347761849984,19
341,0.2426968180794219,0.9841757966883184,0.025369335236994334,0.8996357056671831,23
342,0.19628505826164558,1.8971930375399504,0.02798395299637049,0.9360690668415909,11
343,0.2539333519723127,2.4822884463418875,0.01866854685670211,0.9574818962305147,7
344,0.07521138316152681,0.214104261407005,0.03214242559690318,0.9447350070324363,11
345,0.024643698347806345,0.3609218922662759,0.0427305519534886,0.9333490426391479,7
346,0.09844576408508032,1.1016037003903507,0.007383810492023579,0.9982720253578069,10
347,0.1606805009568002,0.7355071755675882,0.0342856898920076,0.9282245021933898,7
348,0.06955625381250853,1.0099500672267439,0.02646823133918859,0.9508678224943579,38
349,0.0678745516663706,0.63945835092605,0.036408512390292004,0.8953174070846819,47
350,0.12435606973369169,1.57464498673762,0.015997126168320098,0.9807837296600033,35
351,0.16101317781142752,0.9608851441688623,0.03300017294653821,0.9215776091406577,22
352,0.10474178631994759,1.6208921121884885,0.0281990184829176,0.9636741359730555,141
353,0.12402090510269795,0.6973326476091593,0.048690739153932454,0.8690550454276329,24
354,0.13084629717895022,0.5591278703387205,0.03385698703460056,0.9411983768982868,34
355,0.05784637361982015,0.0779925927772499,0.028921139777072415,0.9149573688182017,40
356,0.07239566588420208,0.31080919939012036,0.03172247450274532,0.9452469397451438,46
357,0.09110582652628317,1.5292282205230232,0.02944014576306183,0.951384417996974,73
358,0.13607260101931384,0.8302962913752557,0.06532656317517753,0.7143601790903575,69
359,0.11010733441383881,0.2423151501484948,0.04568119945267262,0.9093541114377807,30
360,0.2552038576407293,1.6806371354027916,0.02419327487576202,0.8937793654375326,54
361,0.10429087561056416,2.147072872961517,0.03429710477959462,0.9366435878885276,6
362,0.1045759108267609,0.16932278341048224,0.02211738995548058,0.9725754841082813,8
363,0.42538347093111245,8.975719980335203,0.012550973033185092,0.6066413826933574,301
364,0.270655827074445,2.824694444975046,0.016766811541507134,0.9218378068068233,50
365,0.2648610418917601,2.631521381917972,0.01883412842977783,0.9149591803607058,41
366,0.28719550453076986,4.131816346747899,0.011853379983652901,0.9657713660241689,59
367,0.21674010583170455,6.384114372678579,0.017108437341768232,0.9765891862097656,33
368,0.1689452949718569,4.534405553459006,0.011144303423446326,0.992749757901408,47
369,0.13261778857127504,2.8835408143128958,0.01597239511918891,0.9865301310115082,58
370,0.11336882912978741,2.810675506138837,0.01996299334227724,0.9812361264804607,47
371,0.09873043036763315,0.4554561079428575,0.03923576012319809,0.9240100308127801,10
372,0.06752458297036319,0.6408889103101066,0.03036430900335661,0.9675920342130183,17
373,0.10588622014634587,0.52382835524023,0.03568875989247185,0.9218555011612705,11
374,0.0612448557063941,0.2676871016932983,0.03519025924714723,0.928664150678,11
375,0.07146965838500106,0.23414723574443588,0.04010539498347005,0.9256002092375394,16
